ID,NAME,FULL NAME,TYPE,PSNR-10,PSNR-20,PSNR-25,PSNR-30,PSNR-40,PSNR-50,PSNR-60,PSNR-70,PSNR-80,PSNR-90,SNR-10,SNR-20,SNR-30,SNR-40,SNR-50,SNR-60,SNR-70,SNR-80,SNR-90,EPI-10,EPI-30,EPI-50,EPI-70,EPI-90,SSIM-10,SSIM-20,SSIM-30,SSIM-40,SSIM-50,SSIM-60,SSIM-70,SSIM-80,SSIM-90,MS-SSIM-10,MS-SSIM-30,MS-SSIM-50,MS-SSIM-70,MS-SSIM-90,STD-50,NOISE TYPE,DATASET,Publication Year,STATS SOURCE
1,DBA,Decision Based Algorithm,Filter,,,,29.92,,26.32,,22.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",Salt & Pepper,BSD300,2019,http://link.springer.com/10.1007/s11042-018-6521-4
2,NASNLM,,,,,,25.74,,24.5,,24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salt & Pepper,BSD300,2019,http://link.springer.com/10.1007/s11042-018-6521-4
3,PARIGI,,,,,,30.86,,27.47,,23.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salt & Pepper,Avg. of 11,2019,http://link.springer.com/10.1007/s11042-018-6521-4
4,NLSF,,,,,,30.01,,26.25,,22.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salt & Pepper,BSD300,2019,http://link.springer.com/10.1007/s11042-018-6521-4
5,NLSF-MLP,,,,,,29.77,,26.19,,26.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salt & Pepper,BSD300,2019,http://link.springer.com/10.1007/s11042-018-6521-4
6,NLSF-CNN,,CNN,,,,30.87,,27.84,,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salt & Pepper,BSD300,2019,http://link.springer.com/10.1007/s11042-018-6521-4
7,MF,,Filter,,,,,,,,,,,18.44,,9.40,,1.05,,-4.26,,-7.63,0.4987,0.1118,0.0360,0.014,0.0028,0.9785,,0.7640,,0.2959,,0.0857,,0.0206,0.9885,0.8788,0.5235,0.2298,0.0682,,Salt & Pepper,Lena 512,2016,http://link.springer.com/10.1007/978-981-10-3433-6_52
8,AMF,,Filter,,,,,,,,,,,26.05,,21.20,,13.66,,2.48,,-5.68,0.8023,0.6671,0.2900,0.0536,0.0063,0.9807,,0.9762,,0.9081,,0.3979,,0.0514,0.9886,0.9729,0.9510,0.5920,0.1358,,Salt & Pepper,Lena 512,2016,http://link.springer.com/10.1007/978-981-10-3433-6_52
9,DBUTMF,,Filter,,,,,,,,,,,27.17,,22.34,,15.52,,4.89,,-4.72,0.8313,0.7100,0.3194,0.0632,0.0088,0.9808,,0.9812,,0.9450,,0.5850,,0.1251,0.9899,0.9814,0.9684,0.7792,0.3213,,Salt & Pepper,Lena 512,2016,http://link.springer.com/10.1007/978-981-10-3433-6_52
10,MDUTMEDF,,Filter,,,,,,,,,,,27.17,,22.45,,18.64,,10.24,,1.40,0.8823,0.7217,0.4649,0.1384,0.9808,0.9918,,0.9814,,0.9667,,0.7628,,0.2455,0.9901,0.9825,0.9716,0.8793,0.4507,,Salt & Pepper,Lena 512,2016,http://link.springer.com/10.1007/978-981-10-3433-6_52
